Desi/KG,Aras,DHL eCommerce,Kolay Gelsin,PTT,Sürat,TEX,Yurtiçi,Borusan,CEVA,Horoz
73,654.30,1482.56,1127.88,1073.86,755.08,706.29,801.38,959.85,872.50,822.06
74,662.87,1507.55,1147.88,1086.73,764.95,715.49,811.68,973.00,884.51,833.32
75,671.44,1532.54,1167.87,1099.58,774.85,724.71,821.97,986.15,896.40,844.58
76,680.00,1557.53,1187.87,1112.45,784.73,733.91,832.27,999.29,908.41,855.84
77,688.57,1582.52,1207.87,1125.32,794.60,743.11,842.57,1012.45,920.30,867.10
78,697.14,1607.51,1227.87,1138.18,804.51,752.33,852.86,1025.59,932.31,878.36
79,705.70,1632.50,1247.87,1151.04,814.39,761.53,863.16,1038.74,944.20,889.63
80,714.27,1657.49,1267.87,1163.91,824.29,770.74,873.45,1051.89,956.21,900.88
81,722.84,1682.48,1287.87,1176.78,834.16,779.95,883.75,1065.04,968.10,912.15
82,731.40,1707.47,1307.87,1189.64,844.04,789.15,894.05,1078.18,980.11,923.40
83,739.97,1732.46,1327.87,1202.50,853.95,798.37,904.34,1091.34,992.00,934.67
84,748.54,1757.45,1347.87,1215.37,863.82,807.57,914.64,1104.48,1004.01,945.93
85,757.10,1782.44,1367.87,1228.23,873.72,816.78,924.94,1117.63,1015.89,957.19
86,765.67,1807.43,1387.87,1241.10,883.60,825.98,935.23,1130.79,1027.90,968.45
87,774.24,1832.42,1407.87,1253.96,893.47,835.18,945.53,1143.93,1039.80,979.71
88,782.80,1857.41,1427.86,1266.83,903.38,844.41,955.83,1157.08,1051.81,990.97
89,791.37,1882.40,1447.86,1279.69,913.26,853.61,966.12,1170.22,1063.78,1002.24
90,799.94,1907.39,1467.86,1292.56,923.16,862.82,976.42,1183.38,1075.71,1013.49
91,808.50,1932.38,1487.86,1305.42,933.03,872.02,986.72,1196.52,1087.68,1024.76
92,817.07,1957.37,1507.86,1318.28,942.91,881.22,997.01,1209.67,1099.61,1036.01
93,825.64,1982.36,1527.86,1331.15,952.82,890.44,1007.31,1222.82,1111.58,1047.28
94,834.20,2007.35,1547.86,1344.02,962.69,899.64,1017.60,1235.97,1123.47,1058.54
95,842.77,2032.34,1567.86,1356.88,972.59,908.86,1027.90,1249.11,1135.48,1069.80
96,851.34,2057.33,1587.86,1369.74,982.47,918.06,1038.20,1262.27,1147.37,1081.06
97,859.90,2082.32,1607.86,1382.61,992.34,927.26,1048.49,1275.42,1159.38,1092.32
98,868.47,2107.31,1627.86,1395.48,1002.25,936.48,1058.79,1288.56,1171.27,1103.58
99,877.04,2132.30,1647.86,1408.33,1012.13,945.68,1069.09,1301.72,1183.28,1114.85
100,885.60,2157.29,1667.85,1421.20,1022.03,954.90,1079.38,1314.86,1195.17,1126.10
101,894.17,2182.28,1687.85,,1032.57,,1089.68,1328.01,1207.18,1137.37
102,902.74,2207.27,1707.85,,1043.11,,1099.98,1341.16,1219.07,1148.62
103,911.30,2232.26,1727.85,,1053.65,,1110.27,1354.31,1231.07,1159.89
104,919.87,2257.25,1747.85,,1064.19,,1120.57,1367.45,1243.06,1171.15
105,928.44,2282.24,1767.85,,1074.74,,1130.87,1380.61,1254.97,1182.41
106,937.00,2307.23,1787.85,,1085.28,,1141.16,1393.75,1266.96,1193.67
107,945.57,2332.22,1807.85,,1095.82,,1151.46,1406.90,1278.87,1204.93
108,954.14,2357.21,1827.85,,1106.36,,1161.75,1420.05,1290.86,1216.19
109,962.70,2382.20,1847.85,,1116.90,,1172.05,1433.20,1302.77,1227.46
110,971.27,2407.19,1867.85,,1127.45,,1182.35,1446.35,1314.76,1238.71
111,979.84,2432.18,1887.85,,1137.99,,1192.64,1459.50,1326.67,1249.98
112,988.40,2457.17,1907.84,,1148.53,,1202.94,1472.65,1338.67,1261.23
113,996.97,2482.16,1927.84,,1159.07,,1213.24,1485.79,1350.58,1272.50
114,1005.54,2507.15,1947.84,,1169.61,,1223.53,1498.94,1362.55,1283.76
115,1014.10,2532.14,1967.84,,1180.16,,1233.83,1512.09,1374.48,1295.02
116,1022.67,2557.13,1987.84,,1190.70,,1244.13,1525.24,1386.45,1306.28
117,1031.24,2582.12,2007.84,,1201.24,,1254.42,1538.38,1398.38,1317.54
118,1039.80,2607.11,2027.84,,1211.78,,1264.72,1551.54,1410.35,1328.80
119,1048.37,2632.10,2047.84,,1222.33,,1275.01,1564.68,1422.34,1340.07
120,1056.94,2657.09,2067.84,,1232.87,,1285.31,1577.83,1434.25,1351.32
121,1065.50,2682.08,2087.84,,1243.41,,1295.61,1590.99,1446.24,1362.59
122,1074.07,2707.07,2107.84,,1253.95,,1305.90,1604.13,1458.14,1373.85
123,1082.64,2732.06,2127.84,,1264.49,,1316.20,1617.28,1470.13,1385.11
124,1091.20,2757.05,2147.84,,1275.04,,1326.50,1630.43,1482.04,1396.37
125,1099.77,2782.04,2167.83,,1285.58,,1336.79,1643.58,1494.03,1407.63
126,1108.34,2807.03,2187.83,,1296.12,,1347.09,1656.72,1505.94,1418.89
127,1116.90,2832.02,2207.83,,1306.66,,1357.39,1669.88,1517.93,1430.16
128,1125.47,2857.01,2227.83,,1317.20,,1367.68,1683.02,1529.84,1441.41
129,1134.04,2882.00,2247.83,,1327.75,,1377.98,1696.17,1541.83,1452.68
130,1142.60,2906.99,2267.83,,1338.29,,1388.28,1709.32,1553.74,1463.93
131,1151.17,2931.98,2287.83,,1348.83,,1398.57,1722.47,1565.73,1475.20
132,1159.74,2956.97,2307.83,,1359.37,,1408.87,1735.61,1577.64,1486.46
133,1168.30,2981.96,2327.83,,1369.91,,1419.16,1748.77,1589.63,1497.72
134,1176.87,3006.95,2347.83,,1380.46,,1429.46,1761.92,1601.60,1508.98
135,1185.44,3031.94,2367.83,,1391.00,,1439.76,1775.06,1613.53,1520.24
136,1194.00,3056.93,2387.83,,1401.54,,1450.05,1788.22,1625.51,1531.50
137,1202.57,3081.92,2407.82,,1412.08,,1460.35,1801.36,1637.44,1542.77
138,1211.14,3106.91,2427.82,,1422.62,,1470.65,1814.51,1649.41,1554.02
139,1219.70,3131.90,2447.82,,1433.17,,1480.94,1827.65,1661.34,1565.29
140,1228.27,3156.89,2467.82,,1443.71,,1491.24,1840.81,1673.30,1576.54
141,1236.84,3181.88,2487.82,,1454.25,,1501.54,1853.95,1685.23,1587.81
142,1245.41,3206.87,2507.82,,1464.79,,1511.83,1867.10,1697.20,1599.07
143,1253.97,3231.86,2527.82,,1475.33,,1522.13,1880.25,1709.13,1610.33
144,1262.54,3256.85,2547.82,,1485.88,,1532.43,1893.40,1721.10,1621.59
145,1271.11,3281.84,2567.82,,1496.42,,1542.72,1906.55,1733.05,1632.85
146,1279.67,3306.83,2587.82,,1506.96,,1553.02,1919.70,1745.00,1644.11
147,1288.24,3331.82,2607.82,,1517.50,,1563.31,1932.85,1756.95,1655.38
148,1296.81,3356.81,2627.82,,1528.04,,1573.61,1945.99,1768.90,1666.63
149,1305.37,3381.80,2647.81,,1538.59,,1583.91,1959.15,1780.91,1677.90
150,1313.94,3406.79,2667.81,,1549.13,,1594.20,1972.29,1792.80,1689.15
151,1322.51,3431.78,2687.81,,1559.67,,1604.50,1985.44,1804.79,1700.42
152,1331.07,3456.77,2707.81,,1570.21,,1614.80,1998.59,1816.78,1711.68
153,1339.64,3481.76,2727.81,,1580.75,,1625.09,2011.74,1828.77,1722.94
154,1348.21,3506.75,2747.81,,1591.30,,1635.39,2024.88,1840.76,1734.20
155,1356.77,3531.74,2767.81,,1601.84,,1645.69,2038.04,1852.75,1745.46
156,1365.34,3556.73,2787.81,,1612.38,,1655.98,2051.18,1864.74,1756.72
157,1373.91,3581.72,2807.81,,1622.92,,1666.28,2064.33,1876.73,1767.99
158,1382.47,3606.71,2827.81,,1633.47,,1676.57,2077.49,1888.72,1779.24
159,1391.04,3631.70,2847.81,,1644.01,,1686.87,2090.63,1900.71,1790.51
160,1399.61,3656.69,2867.81,,1654.55,,1697.17,2103.78,1912.70,1801.76
161,1408.17,3681.68,2887.81,,1665.09,,1707.46,2116.93,1924.69,1813.03
162,1416.74,3706.67,2907.80,,1675.63,,1717.76,2130.08,1936.68,1824.29
163,1425.31,3731.66,2927.80,,1686.18,,1728.06,2143.22,1948.66,1835.55
164,1433.87,3756.65,2947.80,,1696.72,,1738.35,2156.37,1960.65,1846.81
165,1442.44,3781.64,2967.80,,1707.26,,1748.65,2169.52,1972.64,1858.07
166,1451.01,3806.63,2987.80,,1717.80,,1758.95,2182.67,1984.63,1869.33
167,1459.57,3831.62,3007.80,,1728.34,,1769.24,2195.81,1996.62,1880.60
168,1468.14,3856.61,3027.80,,1738.89,,1779.54,2208.97,2008.61,1891.85
169,1476.71,3881.60,3047.80,,1749.43,,1789.84,2222.12,2020.60,1903.12
170,1485.27,3906.59,3067.80,,1759.97,,1800.13,2235.26,2032.59,1914.37
171,1493.84,3931.58,3087.80,,1770.51,,1810.43,2248.42,2044.58,1925.64
172,1502.41,3956.57,3107.80,,1781.05,,1820.72,2261.56,2056.57,1936.90
173,1510.97,3981.56,3127.80,,1791.60,,1831.02,2274.71,2068.56,1948.16
174,1519.54,4006.55,3147.79,,1802.14,,1841.32,2287.86,2080.55,1959.42
175,1528.11,4031.54,3167.79,,1812.68,,1851.61,2301.01,2092.54,1970.68
176,1536.67,4056.53,3187.79,,1823.22,,1861.91,2314.15,2104.53,1981.94
177,1545.24,4081.52,3207.79,,1833.76,,1872.21,2327.31,2116.52,1993.21
178,1553.81,4106.51,3227.79,,1844.31,,1882.50,2340.45,2128.51,2004.46
179,1562.37,4131.50,3247.79,,1854.85,,1892.80,2353.60,2140.50,2015.73
180,1570.94,4156.49,3267.79,,1865.39,,1903.10,2366.75,2152.49,2026.98
181,1579.51,4181.48,3287.79,,1875.93,,1913.39,2379.90,2164.48,2038.25
182,1588.07,4206.47,3307.79,,1886.47,,1923.69,2393.05,2176.47,2049.51
183,1596.64,4231.46,3327.79,,1897.02,,1933.99,2406.20,2188.46,2060.77
184,1605.21,4256.45,3347.79,,1907.56,,1944.28,2419.35,2200.45,2072.03
185,1613.77,4281.44,3367.79,,1918.10,,1954.58,2432.49,2212.44,2083.29
186,1622.34,4306.43,3387.79,,1928.64,,1964.87,2445.65,2224.43,2094.55
187,1630.91,4331.42,3407.78,,1939.18,,1975.17,2458.79,2236.42,2105.82
188,1639.47,4356.41,3427.78,,1949.73,,1985.47,2471.94,2248.41,2117.07
189,1648.04,4381.40,3447.78,,1960.27,,1995.76,2485.08,2260.40,2128.34
190,1656.61,4406.39,3467.78,,1970.81,,2006.06,2498.24,2272.39,2139.59
191,1665.17,4431.38,3487.78,,1981.35,,2016.36,2511.38,2284.38,2150.86
192,1673.74,4456.37,3507.78,,1991.89,,2026.65,2524.53,2296.36,2162.12
193,1682.31,4481.36,3527.78,,2002.44,,2036.95,2537.69,2308.35,2173.38
194,1690.87,4506.35,3547.78,,2012.98,,2047.25,2550.83,2320.34,2184.64
195,1699.44,4531.34,3567.78,,2023.52,,2057.54,2563.98,2332.33,2195.90
196,1708.01,4556.33,3587.78,,2034.06,,2067.84,2577.13,2344.32,2207.16
197,1716.57,4581.32,3607.78,,2044.61,,2078.13,2590.28,2356.31,2218.43
198,1725.14,4606.31,3627.78,,2055.15,,2088.43,2603.42,2368.30,2229.68
199,1733.71,4631.30,3647.77,,2065.69,,2098.73,2616.58,2380.29,2240.95
200,1742.27,4656.29,3667.77,,2076.23,,2109.02,2629.72,2392.28,2252.21
201,1750.84,4681.28,3687.77,,2086.77,,2119.32,2642.87,2404.27,2263.47
202,1759.41,4706.27,3707.77,,2097.32,,2129.62,2656.02,2416.26,2274.73
203,1767.97,4731.26,3727.77,,2107.86,,2139.91,2669.17,2428.25,2285.99
204,1776.54,4756.25,3747.77,,2118.40,,2150.21,2682.31,2440.24,2297.25
205,1785.11,4781.24,3767.77,,2128.94,,2160.51,2695.47,2452.23,2308.52
206,1793.67,4806.23,3787.77,,2139.48,,2170.80,2708.62,2464.22,2319.77
207,1802.24,4831.22,3807.77,,2150.03,,2181.10,2721.76,2476.21,2331.04
208,1810.81,4856.21,3827.77,,2160.57,,2191.40,2734.92,2488.20,2342.29
209,1819.37,4881.20,3847.77,,2171.11,,2201.69,2748.06,2500.19,2353.56
210,1827.94,4906.19,3867.77,,2181.65,,2211.99,2761.21,2512.18,2364.82
211,1836.51,4931.18,3887.76,,2192.19,,2222.28,2774.36,2524.17,2376.08
212,1845.07,4956.17,3907.76,,2202.74,,2232.58,2787.51,2536.16,2387.34
213,1853.64,4981.16,3927.76,,2213.28,,2242.88,2800.65,2548.15,2398.60
